sim_time,event,value,soc
4730.700246725,run_started,26,0.999669
4759.100248206,waypoint,1,0.885657
4759.133581541,tag,1,0.885657
4782.416916089,waypoint,2,0.791012
4782.483582759,tag,2,0.791012
4805.550250628,waypoint,3,0.696370
4805.566917296,tag,3,0.696370
4831.366918642,waypoint,4,0.589808
4831.383585309,tag,4,0.589808
4859.050253419,waypoint,5,0.475079
4859.100253421,tag,5,0.474749
4885.250254785,waypoint,6,0.367129
4885.250254785,dock,patrol_done,0.367129
4885.283588120,tag,6,0.367129
4915.283589685,waypoint,0,0.243602
4915.283589685,run_ended,26,0.243602
