sim_time,event,value,soc
2093.800109200,run_started,12,0.999670
2123.250110736,waypoint,1,0.882222
2123.450110746,tag,1,0.881543
2146.866778634,waypoint,2,0.786555
2146.950111972,tag,2,0.786221
2169.783446496,waypoint,3,0.692592
2169.950113171,tag,3,0.691928
2195.166781153,waypoint,4,0.587341
2195.416781166,tag,4,0.586293
2223.866782650,waypoint,5,0.469408
2223.983449323,tag,5,0.469077
2250.333450697,waypoint,6,0.360236
2250.333450697,dock,patrol_done,0.360236
2250.433450702,tag,6,0.359903
2280.633452277,waypoint,0,0.235683
2280.633452277,run_ended,12,0.235683
