sim_time,event,value,soc
1514.600078992,run_started,9,0.999608
1545.116747250,waypoint,1,0.856135
1545.133413918,tag,1,0.856135
1569.766748536,waypoint,2,0.738811
1569.816748538,tag,2,0.738415
1593.600083112,waypoint,3,0.623770
1593.616749780,tag,3,0.623374
1619.800084479,waypoint,4,0.495151
1647.766752604,waypoint,5,0.357891
1647.800085939,tag,5,0.357499
1674.516753999,waypoint,6,0.227405
1674.516753999,dock,patrol_done,0.227405
1704.666755571,waypoint,0,0.080417
1704.666755571,run_ended,9,0.080417
