sim_time,event,value,soc
939.100048977,run_started,6,0.999604
968.616717183,waypoint,1,0.859943
968.616717183,tag,1,0.859943
992.916718451,waypoint,2,0.743949
992.966718453,tag,2,0.743949
1016.800053030,waypoint,3,0.628663
1016.850053032,tag,3,0.628663
1042.700054381,waypoint,4,0.501829
1071.033389192,waypoint,5,0.362758
1071.033389192,tag,5,0.362758
1097.600057244,waypoint,6,0.232593
1097.600057244,dock,patrol_done,0.232593
1127.633392143,waypoint,0,0.086007
1127.633392143,run_ended,6,0.086007
