sim_time,event,value,soc
2270.700118426,run_started,13,0.999609
2300.833453331,waypoint,1,0.857736
2300.850119998,tag,1,0.857736
2325.333454608,waypoint,2,0.740766
2325.383454611,tag,2,0.740766
2348.750122496,waypoint,3,0.627298
2348.783455831,tag,3,0.627298
2375.183457208,waypoint,4,0.498219
2403.316792009,waypoint,5,0.359930
2403.366792012,tag,5,0.359930
2430.000126734,waypoint,6,0.229735
2430.000126734,dock,patrol_done,0.229735
2460.266794979,waypoint,0,0.082489
2460.266794979,run_ended,13,0.082489
