sim_time,event,value,soc
2081.600108563,run_started,12,0.999609
2111.033443432,waypoint,1,0.860405
2111.066776767,tag,1,0.860405
2135.550111377,waypoint,2,0.743554
2135.600111380,tag,2,0.743163
2159.716779304,waypoint,3,0.627069
2159.750112639,tag,3,0.627069
2185.816780665,waypoint,4,0.499210
2213.866782128,waypoint,5,0.361834
2213.883448796,tag,5,0.361834
2240.583450188,waypoint,6,0.231792
2240.600116856,dock,patrol_done,0.231792
2270.633451756,waypoint,0,0.084975
2270.633451756,run_ended,12,0.084975
