sim_time,event,value,soc
2656.200138531,run_started,15,0.999609
2686.750140124,waypoint,1,0.856012
2686.766806792,tag,1,0.856012
2710.833474714,waypoint,2,0.740610
2710.866808049,tag,2,0.740610
2734.366809275,waypoint,3,0.626650
2734.366809275,tag,3,0.626650
2760.583477308,waypoint,4,0.498132
2791.866812273,recovery,enter,0.346817
2791.866812273,recovery_enter,ClearLocalCostmap-Context,0.346817
2791.866812273,recovery_exit,ClearLocalCostmap-Context,0.346817
2791.866812273,recovery,exit,0.346817
2799.133479319,waypoint,5,0.316040
2799.166812654,tag,5,0.316040
2822.300147194,dock,low_soc,0.199891
2853.183482138,waypoint,0,0.049939
2853.183482138,run_ended,15,0.049939
