sim_time,event,value,soc
369.100019250,run_started,3,0.999604
398.600020788,waypoint,1,0.859980
398.616687456,tag,1,0.859980
422.950022058,waypoint,2,0.743927
423.000022061,tag,2,0.743535
446.650023294,waypoint,3,0.629237
446.683356629,tag,3,0.629237
472.716691320,waypoint,4,0.501627
501.066692799,waypoint,5,0.362952
501.133359469,tag,5,0.362559
501.500026155,recovery,enter,0.360646
501.500026155,recovery_enter,ClearGlobalCostmap-Context,0.360646
501.500026155,recovery_exit,ClearGlobalCostmap-Context,0.360646
501.516692822,recovery_enter,ClearLocalCostmap-Context,0.360646
501.516692822,recovery_exit,ClearLocalCostmap-Context,0.360646
501.566692825,recovery_enter,ClearLocalCostmap-Subtree,0.360646
501.566692825,recovery_exit,ClearLocalCostmap-Subtree,0.360646
501.566692825,recovery_enter,ClearGlobalCostmap-Subtree,0.360646
501.566692825,recovery_exit,ClearGlobalCostmap-Subtree,0.360646
501.566692825,recovery,exit,0.360646
527.766694191,waypoint,6,0.232850
527.766694191,dock,patrol_done,0.232850
557.966695766,waypoint,0,0.085556
557.966695766,run_ended,3,0.085556
