sim_time,event,value,soc
1892.500098701,run_started,11,0.999607
1922.083433577,waypoint,1,0.860201
1922.150100247,tag,1,0.859805
1946.233434837,waypoint,2,0.744501
1946.266768172,tag,2,0.744501
1969.716769395,waypoint,3,0.630704
1969.716769395,tag,3,0.630704
1996.916770813,waypoint,4,0.498013
2024.900105606,waypoint,5,0.360418
2024.950105609,tag,5,0.360418
2051.300106983,waypoint,6,0.231470
2051.300106983,dock,patrol_done,0.231470
2081.516775226,waypoint,0,0.084148
2081.516775226,run_ended,11,0.084148
