sim_time,event,value
15.733334153,tag,0
28.150001468,waypoint,0
29.216668190,recovery_enter,Spin
31.083334954,recovery_exit,Spin
31.316668299,recovery_enter,Wait
36.400001898,recovery_exit,Wait
36.700001914,recovery_enter,BackUp
42.933335572,recovery_exit,BackUp
44.150002302,recovery_enter,Spin
46.000002399,recovery_exit,Spin
55.600002899,tag,1
69.716670302,waypoint,2
81.083337562,tag,2
93.450004873,waypoint,3
107.466672271,tag,3
119.783339580,waypoint,4
126.300006587,recovery_enter,Wait
131.350006850,recovery_exit,Wait
136.600007124,tag,4
148.366674404,waypoint,5
186.966676417,tag,5
201.966677200,waypoint,6
