sim_time,event,value,soc
1716.600089527,run_started,10,0.999666
1746.066757731,waypoint,1,0.882381
1746.100091066,tag,1,0.882047
1770.466759003,waypoint,2,0.783997
1770.533425673,tag,2,0.783666
1794.166760239,waypoint,3,0.687216
1794.233426909,tag,3,0.686882
1823.116761749,recovery,enter,0.568637
1823.116761749,recovery_enter,ClearLocalCostmap-Context,0.568637
1823.116761749,recovery_exit,ClearLocalCostmap-Context,0.568637
1823.116761749,recovery,exit,0.568637
1824.216761806,waypoint,4,0.564963
1824.216761806,tag,4,0.564963
1851.900096584,waypoint,5,0.450493
1852.033429924,tag,5,0.450163
1878.550097974,waypoint,6,0.340967
1878.550097974,dock,patrol_done,0.340967
1878.583431309,tag,6,0.340967
1908.650099543,waypoint,0,0.217042
1908.650099543,run_ended,10,0.217042
