sim_time,event,value
17.550000915,tag,0
29.883334891,waypoint,1
40.100002091,tag,1
54.516669509,waypoint,2
66.916670156,tag,2
78.000004068,waypoint,3
92.116671470,tag,3
104.166672099,waypoint,4
115.616672696,tag,4
127.750006662,waypoint,5
166.216675335,tag,5
178.833342660,waypoint,6
186.033343035,waypoint,7
202.800010576,tag,0
214.916677875,waypoint,1
