sim_time,event,value
17.083334224,tag,0
40.600002117,tag,1
66.350003460,tag,2
92.416671486,tag,3
116.483339408,tag,4
165.516675299,tag,5
209.316677583,tag,0
232.833345476,tag,1
257.683346772,tag,2
283.766681466,tag,3
