sim_time,id
17.116667559,0
40.766668792,1
65.650003423,2
91.400004766,3
116.333339400,4
166.983342042,5
202.416677223,0
225.333345085,1
250.600013069,2
276.916681108,3
300.200015656,4
353.366685096,5
389.883353667,0
