sim_time,event,value,soc
3923.900204647,run_started,22,0.999604
3951.733539432,waypoint,1,0.866745
3951.933539442,tag,1,0.865956
3975.283540660,waypoint,2,0.753832
3975.333540663,tag,2,0.753436
3998.500208538,waypoint,3,0.640936
3998.566875208,tag,3,0.640936
4024.616876566,waypoint,4,0.513213
4024.616876566,tag,4,0.513213
4051.783544650,waypoint,5,0.379680
4051.866877987,tag,5,0.379284
4078.833546061,waypoint,6,0.247450
4078.833546061,dock,patrol_done,0.247450
4078.866879396,tag,6,0.247450
4108.916880963,waypoint,0,0.100495
4108.916880963,run_ended,22,0.100495
