sim_time,event,value,soc
3739.500195030,run_started,21,0.999609
3767.200196474,waypoint,1,0.867215
3767.316863147,tag,1,0.866819
3790.716864367,waypoint,2,0.754273
3790.783531038,tag,2,0.754273
3813.783532237,waypoint,3,0.642359
3813.833532240,tag,3,0.641962
3840.050200274,waypoint,4,0.513910
3840.116866944,tag,4,0.513514
3867.266868360,waypoint,5,0.380108
3867.266868360,tag,5,0.380108
3893.783536409,waypoint,6,0.250483
3893.783536409,dock,patrol_done,0.250483
3894.133536428,tag,6,0.248817
3923.866871312,waypoint,0,0.103538
3923.866871312,run_ended,21,0.103538
