sim_time,event,value,battery
18.100000943,tag,0,0.965807
30.700001601,waypoint,0,0.947788
41.500002164,tag,1,0.922150
55.333336219,waypoint,1,0.900161
67.766670200,tag,2,0.871163
79.016670787,waypoint,2,0.854078
93.033338185,tag,3,0.817699
104.850005468,waypoint,3,0.801393
116.133339390,tag,4,0.773322
128.683340044,waypoint,4,0.754836
167.316675392,tag,5,0.654006
