sim_time,event,value
17.283334234,tag,0
29.500001538,waypoint,0
56.683336289,tag,1
70.300003666,waypoint,2
81.950004274,tag,2
93.600004881,waypoint,3
107.750005619,tag,3
119.983339590,waypoint,4
131.766673538,tag,4
144.016674177,waypoint,5
173.150009030,tag,33
182.166676167,tag,5
195.316676853,waypoint,6
