sim_time,event,value,soc
1693.200088307,run_started,10,0.999609
1722.283423157,waypoint,1,0.862237
1722.366756495,tag,1,0.861844
1746.433424416,waypoint,2,0.746556
1746.716757765,tag,2,0.745306
1770.000092312,waypoint,3,0.632254
1770.350092330,tag,3,0.630930
1795.866760328,waypoint,4,0.505957
1795.883426995,tag,4,0.505957
1823.566761773,waypoint,5,0.370019
1823.600095108,tag,5,0.369626
1850.066763155,waypoint,6,0.240799
1850.066763155,dock,patrol_done,0.240799
1850.100096490,tag,6,0.240799
1880.366764735,waypoint,0,0.093265
1880.366764735,run_ended,10,0.093265
