sim_time,event,value,soc
7550.000393763,run_started,41,0.999609
7578.817061932,waypoint,1,0.863084
7578.900395270,tag,1,0.862690
7602.917063189,waypoint,2,0.747710
7602.917063189,tag,2,0.747710
7626.533731088,waypoint,3,0.633397
7626.900397773,tag,3,0.631647
7652.217065760,waypoint,4,0.507386
7652.250399095,tag,4,0.507386
7680.200400553,waypoint,5,0.370258
7680.283733891,tag,5,0.370258
7706.767068605,waypoint,6,0.240981
7706.767068605,dock,patrol_done,0.240981
7706.833735276,tag,6,0.240588
7736.983736848,waypoint,0,0.093751
7736.983736848,run_ended,41,0.093751
