sim_time,event,value,soc
9835.300512950,run_started,53,0.999604
9864.367181133,waypoint,1,0.862214
9864.550514476,tag,1,0.861416
9888.617182398,waypoint,2,0.746068
9888.650515733,tag,2,0.746068
9912.433850307,waypoint,3,0.631059
9912.533850312,tag,3,0.630667
9938.283851655,waypoint,4,0.504575
9938.283851655,tag,4,0.504575
9966.067186437,waypoint,5,0.368290
9966.367186453,tag,5,0.367024
9992.433854479,waypoint,6,0.239355
9992.433854479,dock,patrol_done,0.239355
9992.467187814,tag,6,0.239355
10022.917189402,waypoint,0,0.090951
10022.917189402,run_ended,53,0.090951
