sim_time,event,value,soc
10216.300532821,run_started,55,0.999609
10245.517201012,waypoint,1,0.861474
10245.700534354,tag,1,0.860670
10269.317202253,waypoint,2,0.747372
10269.367202255,tag,2,0.747372
10292.950536819,waypoint,3,0.633061
10293.117203494,tag,3,0.632243
10303.767204049,recovery,enter,0.577168
10303.767204049,recovery_enter,ClearGlobalCostmap-Context,0.577168
10303.767204049,recovery_exit,ClearGlobalCostmap-Context,0.577168
10303.800537385,recovery_enter,ClearLocalCostmap-Context,0.576623
10303.800537385,recovery_exit,ClearLocalCostmap-Context,0.576623
10303.833870720,recovery_enter,Spin,0.576623
10305.033870782,recovery_exit,Spin,0.571151
10305.033870782,recovery_enter,Wait,0.571151
10310.133871048,recovery_exit,Wait,0.551029
10310.133871048,recovery,exit,0.551029
10325.733871862,waypoint,4,0.477310
10325.833871867,tag,4,0.476915
10353.717206655,waypoint,5,0.340189
10353.767206657,tag,5,0.340189
10380.050541361,waypoint,6,0.211762
10380.050541361,dock,patrol_done,0.211762
10380.100541364,tag,6,0.211371
10410.267209604,waypoint,0,0.064485
10410.267209604,run_ended,55,0.064485
