sim_time,event,value,soc
2449.800127767,run_started,14,0.999609
2478.483462596,waypoint,1,0.863816
2478.633462604,tag,1,0.863023
2502.883463868,waypoint,2,0.747286
2502.883463868,tag,2,0.747286
2526.233465086,waypoint,3,0.633826
2526.550131769,tag,3,0.632530
2552.316799780,waypoint,4,0.506227
2552.333466447,tag,4,0.506227
2580.733467929,waypoint,5,0.367297
2580.850134601,tag,5,0.366899
2607.200135976,waypoint,6,0.237895
2607.200135976,dock,patrol_done,0.237895
2607.250135978,tag,6,0.237895
2637.766804236,waypoint,0,0.089478
2637.766804236,run_ended,14,0.089478
