sim_time,event,value,soc
4333.000225983,run_started,24,0.999609
4362.400227516,waypoint,1,0.860496
4362.416894184,tag,1,0.860496
4386.550228776,waypoint,2,0.745117
4386.583562111,tag,2,0.745117
4410.333563350,waypoint,3,0.629914
4410.533563360,tag,3,0.629090
4435.916898017,waypoint,4,0.504233
4436.000231355,tag,4,0.503836
4464.483566174,waypoint,5,0.364490
4464.550232844,tag,5,0.364094
4492.133567616,waypoint,6,0.230447
4492.133567616,dock,patrol_done,0.230447
4492.200234286,tag,6,0.230056
4522.016902508,waypoint,0,0.084431
4522.016902508,run_ended,24,0.084431
