sim_time,event,value,soc
4897.500255424,run_started,27,0.999609
4926.766923617,waypoint,1,0.861491
4926.950256960,tag,1,0.860693
4950.933591544,waypoint,2,0.745772
4950.966924879,tag,2,0.745772
4975.150259474,waypoint,3,0.629137
4975.383592819,tag,3,0.628314
5000.916927484,waypoint,4,0.502730
5001.133594162,tag,4,0.501919
5030.083595672,waypoint,5,0.360416
5030.150262342,tag,5,0.360020
5056.350263709,waypoint,6,0.231988
5056.350263709,dock,patrol_done,0.231988
5056.400263711,tag,6,0.231597
5087.966932024,waypoint,0,0.079205
5087.966932024,run_ended,27,0.079205
