sim_time,event,value,soc
7557.900394175,run_started,41,0.999670
7587.350395711,waypoint,1,0.882256
7587.400395713,tag,1,0.881926
7610.600396923,waypoint,2,0.787574
7610.633730258,tag,2,0.787574
7633.783731466,waypoint,3,0.692832
7633.950398141,tag,3,0.692167
7659.517066141,waypoint,4,0.586283
7659.850399492,tag,4,0.585202
7687.383734261,waypoint,5,0.471183
7687.400400929,tag,5,0.470852
7713.767068970,waypoint,6,0.362364
7713.767068970,dock,patrol_done,0.362364
7714.017068983,tag,6,0.361327
7743.583737192,waypoint,0,0.239436
7743.583737192,run_ended,41,0.239436
