sim_time,event,value,soc
5843.900304783,run_started,32,0.999669
5872.383639601,waypoint,1,0.885767
5872.483639607,tag,1,0.885435
5895.833640825,waypoint,2,0.790454
5895.950307497,tag,2,0.790120
5918.983642032,waypoint,3,0.695745
5919.000308699,tag,3,0.695745
5929.666975922,recovery,enter,0.649078
5929.666975922,recovery_enter,ClearGlobalCostmap-Context,0.649078
5929.666975922,recovery_exit,ClearGlobalCostmap-Context,0.649078
5929.700309257,recovery_enter,ClearLocalCostmap-Context,0.648618
5929.700309257,recovery_exit,ClearLocalCostmap-Context,0.648618
5929.733642593,recovery_enter,BackUp,0.648618
5939.766976449,recovery_exit,BackUp,0.614870
5939.766976449,recovery_enter,ClearLocalCostmap-Subtree,0.614870
5939.766976449,recovery_exit,ClearLocalCostmap-Subtree,0.614870
5939.766976449,recovery_enter,ClearGlobalCostmap-Subtree,0.614870
5939.766976449,recovery_exit,ClearGlobalCostmap-Subtree,0.614870
5940.566976491,recovery_enter,ClearGlobalCostmap-Context,0.611750
5940.566976491,recovery_exit,ClearGlobalCostmap-Context,0.611750
5940.600309826,recovery_enter,ClearLocalCostmap-Context,0.611304
5940.600309826,recovery_exit,ClearLocalCostmap-Context,0.611304
5940.600309826,recovery_enter,Spin,0.611304
5941.816976556,recovery_exit,Spin,0.606688
5941.816976556,recovery_enter,Wait,0.606688
5946.850310152,recovery_exit,Wait,0.590064
5946.850310152,recovery,exit,0.590064
5963.916977709,waypoint,4,0.522727
5964.000311046,tag,4,0.522394
5991.283645803,waypoint,5,0.409716
5991.416979143,tag,5,0.409041
6017.550313839,waypoint,6,0.301354
6017.550313839,dock,patrol_done,0.301354
6017.600313842,tag,6,0.301354
6047.816982084,waypoint,0,0.176705
6047.816982084,run_ended,32,0.176705
