sim_time,event,value
18.333334289,tag,0
30.566668260,waypoint,0
31.383334970,recovery_enter,Spin
33.216668399,recovery_exit,Spin
33.466668412,recovery_enter,Wait
38.483335340,recovery_exit,Wait
38.833335358,recovery_enter,BackUp
45.066669017,recovery_exit,BackUp
45.966669064,recovery_enter,Spin
47.833335828,recovery_exit,Spin
57.016669640,tag,1
70.100003655,waypoint,2
81.566670920,tag,2
93.783338224,waypoint,3
108.083338970,tag,3
119.350006224,waypoint,4
129.316673411,tag,4
143.016674125,waypoint,5
157.300008203,recovery_enter,Wait
162.333341799,recovery_exit,Wait
185.283342996,tag,5
197.300010289,waypoint,6
